TOKEN	TYPE	COUNT	RATIO	FORMAT	CASE	LENGTH	INDEXES
mudar	mudar	1	0.003367	W	L	5	8
tramitação	tramitacao	3	0.010101	W	L	10	99,122,155
pela	pela	2	0.00673401	W	L	4	279,294
Atualizado	atualizado	1	0.003367	W	S	10	47
pequenas	pequenas	1	0.003367	W	L	8	207
processuais	processuais	1	0.003367	W	L	11	185
ao	ao	1	0.003367	W	L	2	162
maior	maior	1	0.003367	W	L	5	152
Mas	mas	1	0.003367	W	S	3	138
sexta-feira	sexta-feira	1	0.003367	W	L	11	39
uma	uma	1	0.003367	W	L	3	113
são	sao	1	0.003367	W	L	3	128
quais	quais	1	0.003367	W	L	5	190
as	as	1	0.003367	W	L	2	139
08:53	08:53	1	0.003367	NA	NA	5	49
absolutamente	absolutamente	1	0.003367	W	L	13	83
2021	2021	1	0.003367	N	NA	4	45
São	sao	1	0.003367	W	S	3	126
das	das	1	0.003367	W	L	3	189
pelo	pelo	2	0.00673401	W	L	4	272,286
mais	mais	3	0.010101	W	L	4	31,61,238
economia	economia	2	0.00673401	W	L	8	148,165
em	em	8	0.026936	W	L	2	65,71,89,121,270,276,283,290
exercício	exercicio	1	0.003367	W	L	9	52
por	por	2	0.00673401	W	L	3	57,187
vários	varios	1	0.003367	W	L	6	96
vem	vem	1	0.003367	W	L	3	55
Pedrosa	pedrosa	2	0.00673401	W	S	7	250,265
implementação	implementacao	1	0.003367	W	L	13	68
100%	100%	1	0.003367	NA	NA	4	132
sistemas	sistemas	2	0.00673401	W	L	8	3,191
forma	forma	1	0.003367	W	L	5	134
à	a	1	0.003367	W	L	1	147
inteligência	inteligencia	2	0.00673401	W	L	12	5,193
LL.M	ll.m	1	0.003367	NA	NA	4	282
transformações	transformacoes	1	0.003367	W	L	14	58
10	10	1	0.003367	N	NA	2	80
INSPER	insper	1	0.003367	W	U	6	287
extremamente	extremamente	1	0.003367	W	L	12	100
inteligente	inteligente	2	0.00673401	W	L	11	36,243
etc	etc	1	0.003367	W	L	3	168
quase	quase	2	0.00673401	W	L	5	117,199
com	com	2	0.00673401	W	L	3	95,218
vez	vez	3	0.010101	W	L	3	30,60,237
é	e	3	0.010101	W	L	1	17,175,224
"	"	2	0.00673401	P	NA	1	255,259
tendência	tendencia	2	0.00673401	W	L	9	16,223
&	&	2	0.00673401	P	NA	1	257,264
para	para	1	0.003367	W	L	4	205
gigantescas	gigantescas	1	0.003367	W	L	11	181
PUC-SP	puc-sp	1	0.003367	W	U	6	280
judiciais	judiciais	1	0.003367	W	L	9	87
digitalização	digitalizacao	3	0.010101	W	L	13	107,142,174
FGV-SP	fgv-sp	1	0.003367	W	U	6	295
,	,	15	0.0505051	P	NA	1	33,40,82,91,105,130,151,158,164,186,203,208,240,260,268
www.bpadvogados.com.br	www.bpadvogados.com.br	1	0.003367	NA	NA	22	267
.	.	12	0.040404	P	NA	1	37,74,102,136,169,220,244,249,274,281,288,296
outubro	outubro	1	0.003367	W	L	7	43
André	andre	1	0.003367	W	S	5	247
velocidade	velocidade	1	0.003367	W	L	10	153
artificial	artificial	2	0.00673401	W	L	10	6,194
formando	formando	1	0.003367	W	L	8	92
1	1	1	0.003367	N	NA	1	41
Civil	civil	1	0.003367	W	S	5	278
Paulo	paulo	2	0.00673401	W	S	5	127,246
Processo	processo	1	0.003367	W	S	8	277
processual	processual	1	0.003367	W	L	10	143
Mestrando	mestrando	1	0.003367	W	S	9	289
facilidade	facilidade	1	0.003367	W	L	10	159
níveis	niveis	1	0.003367	W	L	6	73
que	que	3	0.010101	W	L	3	18,206,225
Battaglia	battaglia	1	0.003367	W	S	9	263
torne	torne	2	0.00673401	W	L	5	28,235
como	como	2	0.00673401	W	L	4	24,231
suas	suas	1	0.003367	W	L	4	215
tecnologia	tecnologia	1	0.003367	W	L	10	70
se	se	4	0.013468	W	L	2	27,111,145,234
os	os	3	0.010101	W	L	2	2,85,119
realidade	realidade	1	0.003367	W	L	9	114
Como	como	1	0.003367	W	S	4	1
definir	definir	1	0.003367	W	L	7	214
empresas	empresas	1	0.003367	W	L	8	212
Autor	autor	1	0.003367	W	S	5	252
cada	cada	3	0.010101	W	L	4	29,59,236
feitos	feitos	1	0.003367	W	L	6	157
dos	dos	3	0.010101	W	L	3	108,156,292
próximos	proximos	3	0.010101	W	L	8	12,20,227
A	a	3	0.010101	W	S	1	15,170,222
Contudo	contudo	1	0.003367	W	S	7	104
volumes	volumes	1	0.003367	W	L	7	97
da	da	5	0.016835	W	L	2	53,67,141,173,253
Advogados	advogados	1	0.003367	W	S	9	266
Direito	direito	4	0.013468	W	S	7	256,271,284,291
grandes	grandes	1	0.003367	W	L	7	211
diversos	diversos	1	0.003367	W	L	8	72
de	de	15	0.0505051	W	L	2	4,42,44,69,79,125,133,149,154,160,166,178,183,192,201
grande	grande	1	0.003367	W	L	6	171
coluna	coluna	1	0.003367	W	L	6	254
extrair	extrair	1	0.003367	W	L	7	196
deslocamento	deslocamento	1	0.003367	W	L	12	167
tecnológica	tecnologica	2	0.00673401	W	L	11	32,239
vantagens	vantagens	1	0.003367	W	L	9	140
um	um	3	0.010101	W	L	2	25,197,232
todo	todo	2	0.00673401	W	L	4	26,233
M	m	1	0.003367	W	S	1	248
possam	possam	1	0.003367	W	L	6	213
conseguem	conseguem	1	0.003367	W	L	9	195
resumem	resumem	1	0.003367	W	L	7	146
acesso	acesso	2	0.00673401	W	L	6	161,179
atualmente	atualmente	1	0.003367	W	L	10	116
papel	papel	2	0.00673401	W	L	5	90,150
advocacia	advocacia	4	0.013468	W	L	9	10,23,54,230
possibilidade	possibilidade	1	0.003367	W	L	13	177
menos	menos	1	0.003367	W	L	5	78
O	o	1	0.003367	W	S	1	51
do	do	1	0.003367	W	L	2	262
bases	bases	1	0.003367	W	L	5	182
razão	razao	1	0.003367	W	L	5	66
eficiente	eficiente	2	0.00673401	W	L	9	34,241
passando	passando	1	0.003367	W	L	8	56
processos	processos	4	0.013468	W	L	9	86,94,109,120
anos	anos	4	0.013468	W	L	4	13,21,81,228
tramitando	tramitando	1	0.003367	W	L	10	131
eletrônica	eletronica	1	0.003367	W	L	10	135
informações	informacoes	1	0.003367	W	L	11	202
gigantescos	gigantescos	1	0.003367	W	L	11	93
não	nao	1	0.003367	W	L	3	144
tem	tem	1	0.003367	W	L	3	110
nos	nos	3	0.010101	W	L	3	11,19,226
jurídicas	juridicas	1	0.003367	W	L	9	217
a	a	6	0.020202	W	L	1	9,22,106,176,180,229
<eol>	<eol>	11	0.037037	NA	NA	5	14,38,46,50,75,103,137,221,245,251,297
medias	medias	1	0.003367	W	L	6	209
fundamentais	fundamentais	1	0.003367	W	L	12	204
dados	dados	1	0.003367	W	L	5	184
processo	processo	1	0.003367	W	L	8	163
e	e	6	0.020202	W	L	1	35,63,98,115,210,242
infinito	infinito	1	0.003367	W	L	8	200
tramitavam	tramitavam	1	0.003367	W	L	10	88
Negócios	negocios	2	0.00673401	W	S	8	258,293
rápidas	rapidas	1	0.003367	W	L	7	62
vantagem	vantagem	1	0.003367	W	L	8	172
meio	meio	1	0.003367	W	L	4	188
estratégias	estrategias	1	0.003367	W	L	11	216
número	numero	1	0.003367	W	L	6	198
eficiência	eficiencia	1	0.003367	W	L	10	219
pouco	pouco	1	0.003367	W	L	5	77
devem	devem	1	0.003367	W	L	5	7
digitais	digitais	1	0.003367	W	L	8	129
no	no	1	0.003367	W	L	2	123
Societário	societario	1	0.003367	W	S	10	285
Mackenzie	mackenzie	1	0.003367	W	S	9	273
frequentes	frequentes	1	0.003367	W	L	10	64
às	as	1	0.003367	W	L	2	48
Estado	estado	1	0.003367	W	S	6	124
Há	ha	1	0.003367	W	S	2	76
Pós-graduado	pos-graduado	1	0.003367	W	S	12	275
graduado	graduado	1	0.003367	W	L	8	269
advogado	advogado	1	0.003367	W	L	8	261
lenta	lenta	1	0.003367	W	L	5	101
tornado	tornado	1	0.003367	W	L	7	112
todos	todos	2	0.00673401	W	L	5	84,118
